"동별(1)",동별(2),2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05,2021. 06,2021. 06,2021. 07,2021. 07,2021. 08,2021. 08,2021. 09,2021. 09,2021. 10,2021. 10,2021. 11,2021. 11,2021. 12,2021. 12,2022. 01,2022. 01,2022. 02,2022. 02,2022. 03,2022. 03,2022. 04,2022. 04,2022. 05,2022. 05,2022. 06,2022. 06,2022. 07,2022. 07,2022. 08,2022. 08,2022. 09,2022. 09,2022. 10,2022. 10,2022. 11,2022. 11,2022. 12,2022. 12,2023. 01,2023. 01,2023. 02,2023. 02,2023. 03,2023. 03,2023. 04,2023. 04,2023. 05,2023. 05,2023. 06,2023. 06,2023. 07,2023. 07,2023. 08,2023. 08,2023. 09,2023. 09,2023. 10,2023. 10,2023. 11,2023. 11,2023. 12,2023. 12,2024. 01,2024. 01,2024. 02,2024. 02,2024. 03,2024. 03,2024. 04,2024. 04,2024. 05,2024. 05,2024. 06,2024. 06,2024. 07,2024. 07,2024. 08,2024. 08,2024. 09,2024. 09,2024. 10,2024. 10,2024. 11,2024. 11,2024. 12,2024. 12,2025. 01,2025. 01,2025. 02,2025. 02,2025. 03,2025. 03,2025. 04,2025. 04,2025. 05,2025. 05,2025. 06,2025. 06
"동별(1)",동별(2),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명)
"합계",도봉구,138509,335032,138607,334351,138595,333495,138724,332931,138867,332326,138966,331744,138999,330956,139015,330076,139029,329300,139015,328714,139088,328168,139114,327361,138984,326349,138974,325470,138120,323752,138160,323280,138213,322745,138387,322419,138490,321924,138495,321182,138582,320711,138655,320346,138645,319988,138656,319373,138695,319168,138748,318648,138836,318100,138879,317591,138951,317245,139076,316916,139225,316798,138975,315946,138541,314884,138521,314583,138439,314327,138356,313989,138331,313548,138384,313137,138376,312858,138314,312362,138289,311994,138188,311386,138069,310869,138102,310378,138210,310133,138223,309946,138161,309575,138261,309494,138373,309258,138626,309046,138756,308864,138829,308636,138790,308257,138849,308060,138902,307784,138846,307329,138862,306926,138795,306694,138759,306264,138759,306032,138769,305882,138876,305527,139002,305391,139017,305147,138980,304838,139006,304555
"합계",노원구,217054,537148,217068,536291,217148,535495,217302,534698,217579,533820,217897,533041,217918,532072,217940,530747,218002,529532,217981,528572,218015,527766,218270,527032,218213,525898,218184,524363,217272,522225,217238,521438,217201,520615,217322,520005,217310,519223,217324,517992,217269,517038,217201,516158,217215,515396,217378,514946,217660,514831,218249,514480,219065,514445,219011,513740,218955,512971,218637,512162,218652,511696,218649,511154,217952,509686,217956,509265,217860,508899,217540,508014,217160,507179,217926,507104,218341,506989,218262,506359,218187,505780,217858,504641,218003,504651,218087,504405,218367,504423,218280,504297,218106,503734,217904,502925,217446,502027,218042,501735,218665,501727,218585,501292,218529,500747,218369,500045,218265,499461,218179,498752,218362,498358,218074,497427,217971,497389,217743,496552,217328,495736,217528,494981,218325,495111,218164,494527,217893,493550,217558,492612
"합계",은평구,207824,483983,208153,483525,208209,482509,208771,482440,209456,482446,210664,483938,211862,485564,212632,486063,213039,485842,213305,485436,213636,484870,213914,484043,214099,483415,214288,482479,212725,479607,212764,478922,213270,479217,213662,479409,213889,478983,214004,478331,214181,477961,214126,477250,214494,477356,214711,477173,214827,476978,215001,476465,215178,476013,215600,476886,216169,477455,216455,477460,216671,477343,216698,476789,215225,474124,214702,472841,214243,471717,213876,470602,213924,470099,214070,469489,213989,468766,213907,468157,213830,467582,213827,467295,214175,467705,215200,469991,215776,471155,215694,471199,215700,471073,215721,470869,215799,470640,216075,470221,216340,470185,216381,469870,216412,469516,216345,468976,216249,468289,216023,467536,215784,466809,215485,466131,215203,465453,215305,465350,215398,465152,215639,464783,215655,464466,215591,463983,215545,463691,215555,463165
"합계",서대문구,140625,324112,141279,324826,142109,325875,142559,325467,142963,324521,143323,324224,143487,323427,144024,323410,144494,323860,144546,323640,144655,323354,144838,322952,144808,322332,144891,321500,143180,318814,143087,318550,143112,318094,143226,317699,143274,317258,143521,316787,143712,316415,143723,317031,143720,316944,143647,315659,143948,315923,144717,316473,145044,317075,145246,317792,145397,317814,145517,317515,145662,317421,146054,317731,145285,317159,145325,318372,145542,319347,145797,319554,146183,320301,146908,320887,147146,321966,147183,322470,147197,322360,147226,321726,147184,321087,147271,320638,147333,321379,147074,321780,146938,321556,146845,320629,146787,319936,147225,319499,147467,320378,147508,320933,147475,320549,147312,320010,147262,319403,147166,318456,147107,319749,146735,319806,146502,319460,146221,318622,145914,317851,146303,316863,146422,318085,146263,317813,146170,317405,146121,316827
"합계",마포구,175282,385803,175694,386033,176133,386086,176385,385695,177230,385546,177544,384957,177770,384347,178114,383671,178495,383494,178483,382951,178417,382428,178482,381858,178543,381371,178815,380985,177170,378216,177796,379506,178245,380015,178625,379984,179007,379826,179471,379591,179541,379525,179571,379670,179657,379455,179861,378686,179969,378526,180457,378458,180702,378629,180696,378403,180978,378311,181138,378290,181340,378096,181463,377602,180085,376062,179959,375457,179892,375517,180084,375585,180302,375821,180807,376183,181034,376542,180976,376615,181093,376612,181097,376285,181163,376000,181177,375521,181192,375639,181052,375429,181058,375459,181090,375162,181156,375038,181532,374555,181745,374962,181710,374626,181641,374697,181651,373980,181755,373764,181745,373322,181686,373874,181434,373378,181281,373343,181135,372745,180980,372220,181235,371665,181157,371852,181099,371563,180925,371175,180907,370897
"합계",양천구,177326,462023,177425,461518,177436,460532,178257,461301,179177,462292,179677,462034,179959,461532,180185,460877,180309,460048,180410,459378,180534,458677,180633,457781,180677,456830,181363,457656,180682,456019,180783,455444,180961,454849,181012,454288,181098,453718,181191,452854,181281,452255,181434,451844,181439,451249,181404,450487,181482,450097,181603,449674,181765,449378,181921,448866,181921,448122,181987,447738,182095,447376,182220,446989,181353,445270,181370,444853,181335,444653,181187,444010,181189,443764,181177,443160,181072,442345,181057,441987,181169,441802,181210,441517,181264,441296,181139,440840,181072,440591,181038,440395,180794,439702,180695,439252,180615,438768,180685,438533,180619,437774,180585,437217,180672,436855,180679,436595,180617,436307,180629,436064,180600,435867,180500,435509,180315,434979,180209,434351,180118,434007,180148,433467,180133,432901,180143,432376,180126,432011,180103,431500
"합계",강서구,263166,598097,263413,596893,263645,595703,264111,594652,264659,593825,265252,593203,265762,592482,266197,590978,266366,589536,266606,588475,266920,587714,266982,585901,267162,584773,268129,584606,267442,582804,268133,583046,268636,582950,269276,582995,269653,582544,269976,581777,270389,581265,270623,580743,270877,580231,271175,579768,271576,579439,272216,578967,272572,578426,273025,578056,273756,578385,274301,578465,274595,578233,274551,577713,273691,575813,273776,575456,273650,574929,273697,574638,273804,574230,274186,574062,274283,573711,274428,573334,274425,572748,274521,572382,274601,571913,274426,570856,274249,569978,274032,569336,274100,569325,274084,568826,274034,568332,274285,567851,274326,567159,274226,566463,274205,565870,274010,565133,273897,564485,273913,563852,274044,563515,274222,563544,274062,563035,273911,562194,273773,561591,273745,560640,273685,560094,273515,559366,273295,558716,273259,558229
"합계",구로구,176820,439424,177120,439104,177275,438308,177432,437521,177848,436950,178367,436707,178821,436474,179392,436115,179792,435751,180012,435211,180306,433983,180531,432488,180620,430720,180861,429084,180027,426675,180042,425854,180196,425573,180258,424582,180324,424036,180322,422949,180424,422361,180541,421996,180726,421576,180929,421163,181240,420754,181612,420326,181916,419984,181966,419505,182113,419085,182172,418709,182427,418421,182464,417796,181950,416570,182789,417500,183210,417891,183655,418418,183910,418518,184142,418282,184268,417983,184388,417953,184498,417876,184546,417774,184616,417749,184484,417355,184467,416815,184272,416403,184188,416160,184096,415651,184161,415489,184226,414694,184333,414271,184234,413790,184156,413471,184097,413099,184076,412877,184064,412587,184161,412441,183958,412162,183917,412026,183891,411916,183840,411400,183935,410878,183970,410727,184093,410709,184141,410522,184446,410488
"합계",금천구,111000,252022,111287,251855,111542,251370,111787,251023,112244,250859,112570,250554,112734,249974,113347,249755,113887,249641,114183,249385,114442,248600,114715,247835,114955,247261,115161,246473,114402,244564,114538,244273,114949,244535,115358,244685,115910,245171,116308,245119,116545,244887,116935,244912,117326,244953,117595,244891,117935,244905,118271,244779,118697,244901,118977,244931,119315,245148,119627,245231,119809,245067,119913,244816,119587,243872,119572,243444,119561,243113,119583,242818,119672,242614,119830,242503,120051,242467,120274,242553,120423,242512,120578,242567,120628,242514,120696,242323,120650,242076,120555,241778,120312,241360,120381,241105,120610,241050,120822,240799,120985,240680,121117,240425,121188,240319,121223,240153,121238,240089,121251,239818,121224,239577,121168,239515,121056,239219,121075,239070,121026,238849,121060,238413,121136,238431,121263,238507,121318,238401,121363,238305
"합계",영등포구,175237,401173,176625,403407,177743,404766,178323,404817,179007,404669,179787,405154,180574,405506,181469,405968,182087,405982,182917,406679,183790,407064,184714,407367,185331,407069,185969,406702,184133,403070,184525,402990,184824,402863,185025,402375,185467,402266,186135,402178,186360,401814,186585,401676,186774,401142,187020,400908,187375,400839,187834,400581,188193,400241,188377,399965,188506,399743,188759,399722,189037,399789,189541,400230,188768,398938,188734,398392,188756,398225,188832,398085,189396,398487,189857,398657,190252,398999,190393,398975,190437,399019,190482,398842,190531,398778,190508,398325,190761,398290,190702,398014,190604,397923,190737,397800,191005,397983,191437,397808,191709,397942,191856,397830,191913,397819,192064,397771,192168,397821,192178,397569,192189,397514,191983,397302,192241,397442,192199,397173,192170,396817,192415,396688,192568,396834,192658,396901,192688,396824,192746,396841
"합계",동작구,180862,408747,181268,408180,181761,407802,182236,407481,182962,406879,183537,406776,183870,406254,184030,405232,184193,404617,184119,403518,184132,402611,184229,401572,184098,400432,184171,399519,183579,398205,183826,398310,183959,397960,183859,397231,184175,397009,184556,396560,184825,396122,184598,395023,184775,395130,184812,394364,185059,394325,185688,394135,186419,394649,186696,395098,186948,394941,187380,395030,187656,394843,187962,394300,186966,392628,186655,392162,186197,391610,185773,390432,185659,389818,186053,389322,186534,390377,186730,390570,186980,390917,187058,390843,187112,390785,187178,390630,187199,390740,186990,390580,186818,390207,186675,389714,186473,389278,186971,388877,187417,389576,187734,390032,187712,389735,187662,389541,187629,389003,187497,388084,187461,387792,187330,387590,187193,387988,186950,387352,186838,387106,187466,386941,187750,386897,187582,387098,187543,386728,187650,386593
"합계",관악구,269072,517239,269964,516953,270760,516662,271313,516152,272524,516137,273715,516318,274381,516042,275016,515310,275248,514555,274869,512688,274841,511281,274811,509803,274910,508565,275301,507414,273736,504140,273751,503490,274141,503171,274565,502698,274975,502278,275732,501872,276182,501572,276315,501304,276400,500354,276597,499449,277135,499374,278497,499846,279353,500336,279822,500390,280657,500669,281423,500841,282141,501094,283092,501482,282806,500750,283378,501484,283538,501466,283623,501226,284025,501423,285206,501998,285914,502628,286127,502699,286538,502631,286647,502430,286569,501827,286379,501093,286045,500582,285450,499677,284786,498545,284578,497883,284877,497757,285607,497449,286257,497827,286396,497938,286401,497738,286338,497632,286403,497137,286408,496611,286376,496469,286029,496205,285766,495804,285963,495620,286279,495812,287620,496542,288132,497213,288305,497924,288372,497854,288722,498000
"합계",서초구,173388,435339,173635,435620,173580,434801,173561,433939,173849,433504,173998,433062,174012,432286,173827,431237,173483,429995,173283,429514,173391,429386,173502,429025,173514,428547,173414,427642,172181,425103,171947,424123,171736,422887,171574,422174,171743,421983,171860,421250,171497,420045,171083,418942,170521,417226,170244,416167,170096,415402,169979,414530,169895,413677,169740,412813,169642,412036,169518,411515,169560,411213,169217,410491,168175,409025,168146,408924,168025,408823,167749,408451,167876,408682,168173,409220,168234,408979,168238,408758,168344,408725,168590,408753,168844,408968,168924,408900,169621,410766,170040,412151,170059,412495,169884,412078,170015,412178,170285,412363,170382,412275,170348,412073,170366,411829,170464,411959,170606,412147,170806,412455,170839,412611,170868,413228,170710,413061,170681,413076,170701,413009,170782,412980,170810,412715,170787,412534,170735,412277,170798,412204
"합계",강남구,233363,551055,233849,551569,233624,549898,233363,548289,233354,546820,233484,546158,233673,545518,234024,544978,234021,544085,234588,544986,234785,544712,234872,544055,234688,543323,234776,542644,233363,539538,233203,538352,232936,537024,232707,536107,232642,535274,233815,537534,234218,538075,234533,538645,234463,538333,234233,537800,234383,537975,234634,538084,234612,537338,234607,536927,234833,536656,234885,536710,235147,537133,235409,537412,233687,534988,233474,534885,233287,534690,232777,534103,232732,533886,233325,534971,234735,537817,235708,539742,236296,540907,236935,542327,237646,544060,238500,545981,238647,546291,238712,546956,238463,546542,239775,550282,241315,554620,243061,558926,243510,559720,243741,560142,244572,561453,245046,562136,245344,562755,245932,564030,246005,564280,245910,564475,245447,563831,245094,563215,244962,562987,245076,563421,245139,563189,245008,562762,244981,562439,245092,562526
"합계",송파구,279137,683155,279378,682582,279301,680883,279460,679584,279817,678703,280135,678067,280769,678096,281361,677763,281417,676673,281252,675148,281433,674587,281959,673926,282125,673081,282003,671224,280237,667115,280324,665856,280635,665134,280707,664341,280881,663738,281593,664608,282018,664996,282185,664861,282296,664441,282417,663965,282940,664527,284218,667134,285106,668261,285532,668661,285939,668641,286119,668638,286381,668758,286514,668269,285175,665847,285087,665437,284952,665070,284853,664514,284928,664320,285420,664553,285489,663704,285493,663367,285615,662971,285798,662872,285951,662395,286095,661932,286123,661515,286018,661069,286016,660672,285927,660025,286180,659963,286651,659858,287052,659661,287220,659355,287320,659077,287380,658768,287418,658360,287265,657859,287511,657991,287537,658532,287435,658128,287017,656310,286796,655272,286835,654662,286911,654127,286913,653726,286760,653077,286908,652908
"합계",강동구,185222,445143,187626,451281,190019,457042,191399,459449,192334,460694,193095,461547,193525,461648,193924,461578,194602,462275,195008,462648,195334,462695,196499,463998,197452,465315,199039,468145,199088,468815,199561,469235,199931,469356,200170,469094,200595,469052,200791,468240,201205,467997,201428,467588,201521,467115,201613,466472,201765,466269,201906,465791,201926,465097,202158,465071,202489,465266,202861,465496,203087,465619,203320,465967,202325,464490,202341,464324,202283,464222,202169,464037,202309,464159,202589,464300,202637,464027,202623,463620,202725,463338,202733,463005,202804,462666,202884,462472,203120,462453,203223,462394,203463,462957,203734,463318,203950,463566,204606,464688,205071,465549,205380,466117,205658,466426,205956,466924,206631,467902,207239,469214,207384,469464,207688,470239,208850,472772,212585,481474,215368,488875,218383,496622,219979,500002,220617,501125,221076,501958,221605,502806
