,거래금액 하위5% (억),거래금액 상위5% (억),거래금액 중앙값 (억),거래금액 IQR (억),거래금액 평균 (억),거래금액 표준편차 (억)
인기구,6.688,41.393,18.97,13.081,20.628,11.78
비인기구,2.178,15.919,5.767,3.153,6.624,3.97
